#options: 1920x1080 fps=2997/50 timebase=50/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5593 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:71 out:72 type:b dur:2 cpbdur:2 q:21.82 aq:11.61 tex:27225 mv:22636 misc:7531 imb:408 pmb:2897 smb:4855 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:21.93 aq:9.33 tex:65968 mv:24182 misc:6922 imb:2042 pmb:1792 smb:4326 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:21.96 aq:9.59 tex:56995 mv:23174 misc:6671 imb:1700 pmb:1695 smb:4765 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:21.97 aq:10.11 tex:66237 mv:20713 misc:6786 imb:1501 pmb:1640 smb:5019 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:21.95 aq:9.46 tex:66463 mv:24229 misc:6964 imb:1847 pmb:1813 smb:4500 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:21.93 aq:9.65 tex:60395 mv:18417 misc:6444 imb:1327 pmb:1352 smb:5481 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:21.99 aq:9.67 tex:62525 mv:20729 misc:6370 imb:1503 pmb:1505 smb:5152 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:22.01 aq:9.92 tex:61559 mv:19092 misc:6445 imb:1386 pmb:1521 smb:5253 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:21.99 aq:9.82 tex:107397 mv:29028 misc:6919 imb:2280 pmb:2016 smb:3864 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:22.00 aq:11.58 tex:21751 mv:18943 misc:6410 imb:474 pmb:1926 smb:5760 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:21.95 aq:9.43 tex:63512 mv:20069 misc:6731 imb:1436 pmb:1558 smb:5166 d:- ref:0 ;
in:85 out:83 type:P dur:2 cpbdur:2 q:22.19 aq:9.40 tex:228181 mv:32523 misc:6328 imb:2868 pmb:2383 smb:2909 d:- ref:0 ;
in:83 out:84 type:B dur:2 cpbdur:2 q:22.03 aq:11.06 tex:30247 mv:22940 misc:6349 imb:657 pmb:1869 smb:5634 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:22.11 aq:12.33 tex:37905 mv:22785 misc:7302 imb:765 pmb:2431 smb:4964 d:- ref:0 ;
