submission_id,participant_id,status,custom_study_tncs_accepted_at,started_at,completed_at,reviewed_at,archived_at,time_taken,completion_code,total_approvals,fluent_languages,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status
663be46f0d799a31df1ceb91,5f6f7258aa7332501adb94f4,APPROVED,Not Applicable,2024-05-08T20:45:35.267000Z,2024-05-08T21:13:06.192000Z,2024-05-09T14:03:47.308000Z,2024-05-08T21:13:06.722889Z,1651,C1E7Y3R1,2324,English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663be48570b405a1428b207e,650ee274aa4447ac435b7830,APPROVED,Not Applicable,2024-05-08T20:45:57.165000Z,2024-05-08T21:11:37.590000Z,2024-05-09T14:04:14.382000Z,2024-05-08T21:11:38.178479Z,1541,C1E7Y3R1,1116,English,23,Male,White,United States,United States,United States,English,Yes,Part-Time
663be67b97b36ae122cdf80d,5f088ba29bf08d0b3885f726,APPROVED,Not Applicable,2024-05-08T20:54:19.541000Z,2024-05-08T21:33:48.065000Z,2024-05-09T14:04:45.127000Z,2024-05-08T21:33:48.805291Z,2369,C1E7Y3R1,1907,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663be7967c9a8f2e5aa5c2e4,65b876fb5cc28b62953115fc,APPROVED,Not Applicable,2024-05-08T20:59:02.800000Z,2024-05-08T21:36:49.848000Z,2024-05-09T14:05:06.073000Z,2024-05-08T21:37:41.896421Z,2268,C1E7Y3R1,216,English,29,Male,Asian,Australia,Australia,Australia,English,No,Unemployed (and job seeking)
663be7a8c859254fc58a96cc,5588b2bffdf99b7a7714efd1,APPROVED,Not Applicable,2024-05-08T20:59:20.356000Z,2024-05-08T21:40:05.020000Z,2024-05-09T14:05:51.043000Z,2024-05-08T21:40:05.568260Z,2445,C1E7Y3R1,610,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
663bea8a5cefa82f9e457221,657b91830c807b69681bf0ef,APPROVED,Not Applicable,2024-05-08T21:11:38.046000Z,2024-05-08T21:48:24.381000Z,2024-05-09T14:06:38.491000Z,2024-05-08T21:48:25.127007Z,2207,C1E7Y3R1,372,English,26,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
663bea8f6a5c3ff01e69584a,641384b3dffcf39ec42d3c23,APPROVED,Not Applicable,2024-05-08T21:11:43.837000Z,2024-05-08T21:41:41.650000Z,2024-05-09T14:07:25.943000Z,2024-05-08T22:41:50.728110Z,1798,C1E7Y3R1,1403,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663beae2386b5fcbf8e1b93a,61015f63f9a351d3171a0f98,APPROVED,Not Applicable,2024-05-08T21:13:06.325000Z,2024-05-08T21:35:12.720000Z,2024-05-09T14:07:52.590000Z,2024-05-08T21:37:28.134059Z,1327,C1E7Y3R1,2256,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663bec90c144633bde5dbe7d,5780d9a1900cc80001d2d1c2,APPROVED,Not Applicable,2024-05-08T21:20:16.951000Z,2024-05-08T21:41:18.788000Z,2024-05-09T14:08:32.886000Z,2024-05-08T21:41:19.228450Z,1262,C1E7Y3R1,3397,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663c8b24e524858cb6dcf32b,6508518b906002118153f087,APPROVED,Not Applicable,2024-05-09T08:36:52.441000Z,2024-05-09T08:54:13.528000Z,2024-05-09T15:42:16.181000Z,2024-05-09T08:54:14.045417Z,1042,C1E7Y3R1,153,English,25,Male,White,New Zealand,New Zealand,New Zealand,English,DATA_EXPIRED,DATA_EXPIRED
663c8c39ff599f64fc3ee90b,57b889c1e163b10001abf340,APPROVED,Not Applicable,2024-05-09T08:41:47.394000Z,2024-05-09T09:13:55.244000Z,2024-05-09T15:43:51.643000Z,2024-05-09T09:13:55.991258Z,1928,C1E7Y3R1,403,English,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663c8c693a82c1ad32dcf342,5fa407c0cf3d4f07e93fb5a0,APPROVED,Not Applicable,2024-05-09T08:42:22.690000Z,2024-05-09T09:03:18.221000Z,2024-05-09T15:44:14.811000Z,2024-05-09T09:03:19.129859Z,1256,C1E7Y3R1,439,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c8c8f8460bcf23a6b4bb4,609a9aae2e53d2c195a1bba6,APPROVED,Not Applicable,2024-05-09T08:42:59.317000Z,2024-05-09T09:43:27.684000Z,2024-05-09T15:44:58.456000Z,2024-05-09T09:44:11.651845Z,3629,C1E7Y3R1,456,English,32,Prefer not to say,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
663c8cde6d984e6c20e3daaf,5bfece626e6cd80001beb6c0,APPROVED,Not Applicable,2024-05-09T08:44:20.184000Z,2024-05-09T09:10:40.434000Z,2024-05-09T15:45:34.699000Z,2024-05-09T09:10:41.233125Z,1581,C1E7Y3R1,1106,English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663c8d1a6acdeb6a6ba1f444,60d6f47f9ee6d5613df44943,APPROVED,Not Applicable,2024-05-09T08:45:18.864000Z,2024-05-09T09:02:36.332000Z,2024-05-09T15:49:42.998000Z,2024-05-09T09:02:37.053012Z,1038,C1E7Y3R1,187,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
663c8d1b4e5983470c757216,61474f07f4cfbc50cb3b2f1e,APPROVED,Not Applicable,2024-05-09T08:49:22.219000Z,2024-05-09T10:11:21.991000Z,2024-05-09T15:57:12.787000Z,2024-05-09T10:11:22.462683Z,4920,C1E7Y3R1,516,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
663c8d3bba3a32c1fec4d245,6107ca62e9040e3847a1bd17,APPROVED,Not Applicable,2024-05-09T08:47:27.008000Z,2024-05-09T09:09:06.801000Z,2024-05-09T15:53:39.866000Z,2024-05-09T09:09:26.343650Z,1300,C1E7Y3R1,274,English,21,Female,Mixed,United Arab Emirates,Sweden,Estonia,English,Yes,DATA_EXPIRED
663c8d7948a00118e6a1f44d,5f4fa43ff313fc07706bb0fe,APPROVED,Not Applicable,2024-05-09T08:46:49.045000Z,2024-05-09T09:26:28.084000Z,2024-05-09T15:50:50.215000Z,2024-05-09T09:26:28.898668Z,2380,C1E7Y3R1,714,"Finnish, English",47,Male,White,Finland,Finland,Finland,Finnish,No,Part-Time
663c8dc7da23769fc4df8c93,59e7eb5d62637600014a7db2,APPROVED,Not Applicable,2024-05-09T08:48:07.125000Z,2024-05-09T09:25:24.771000Z,2024-05-09T15:55:47.081000Z,2024-05-09T09:25:25.406236Z,2238,C1E7Y3R1,1214,English,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663c8f444be872da546ed293,65cf8daaaf679c7816f3a1b4,APPROVED,Not Applicable,2024-05-09T09:01:12.356000Z,2024-05-09T09:20:42.800000Z,2024-05-09T15:57:42.276000Z,2024-05-09T09:23:05.353803Z,1171,C1E7Y3R1,148,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663c913350b268a71f1fffab,63ef938aea545fb9bd19a591,APPROVED,Not Applicable,2024-05-09T09:03:42.209000Z,2024-05-09T09:38:52.829000Z,2024-05-09T16:03:17.206000Z,2024-05-09T09:38:53.468160Z,2111,C1E7Y3R1,937,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
663c915cc8ea2a80156ed381,65b245ff936ba04dd1bfbe42,APPROVED,Not Applicable,2024-05-09T09:03:32.818000Z,2024-05-09T09:46:48.008000Z,2024-05-09T16:02:40.883000Z,2024-05-09T09:46:48.571168Z,2596,C1E7Y3R1,164,English,41,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
663c92bdef50186da9115d59,644a4cace89b63c509a1e3df,APPROVED,Not Applicable,2024-05-09T09:09:23.555000Z,2024-05-09T09:24:20.648000Z,2024-05-09T16:03:43.307000Z,2024-05-09T09:24:21.161694Z,898,C1E7Y3R1,228,English,33,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c931061aba5259dd8fb19,5f2475017bdf7404b8215eef,APPROVED,Not Applicable,2024-05-09T09:10:40.829000Z,2024-05-09T09:34:02.797000Z,2024-05-09T18:34:21.180000Z,2024-05-09T09:34:13.740560Z,1402,C1E7Y3R1,383,"English, Swedish",26,Male,White,Sweden,Sweden,Sweden,Swedish,Yes,Full-Time
663c93dc4082e2ad8060c767,5d29a65b5b3b1f001aaaf6e3,APPROVED,Not Applicable,2024-05-09T09:14:12.195000Z,2024-05-09T09:36:06.782000Z,2024-05-09T18:35:08.721000Z,2024-05-09T09:36:07.428283Z,1315,C1E7Y3R1,269,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c957032ab27bb737c2ab0,5a7659fd8fe2dc00010573be,APPROVED,Not Applicable,2024-05-09T09:20:48.913000Z,2024-05-09T09:45:42.735000Z,2024-05-09T18:35:44.697000Z,2024-05-09T09:45:43.328781Z,1494,C1E7Y3R1,439,"Finnish, English",46,Male,White,Finland,Finland,Finland,Finnish,No,Unemployed (and job seeking)
663c966799535b36637396a7,654983b42d3870e2a88c6fe4,APPROVED,Not Applicable,2024-05-09T09:25:02.624000Z,2024-05-09T10:06:19.566000Z,2024-05-09T18:36:10.578000Z,2024-05-09T10:06:20.321188Z,2477,C1E7Y3R1,119,"English, Turkish, German",42,Female,White,Turkey,Australia,Turkey,Turkish,No,Part-Time
663c968acafa7375655d1411,5dbf5fe16849043f135aa2c0,APPROVED,Not Applicable,2024-05-09T09:25:40.312000Z,2024-05-09T09:39:15.712000Z,2024-05-09T18:37:01.177000Z,2024-05-09T09:39:16.312693Z,816,C1E7Y3R1,2421,English,36,Male,White,United States,United Kingdom,United States,English,DATA_EXPIRED,DATA_EXPIRED
